k,n,s,energy,error,run_time
9,70,40,0.1662947416782395,0.00037192498842716915,0.01881429720087908
9,70,45,0.16643839366703855,0.0002282729996281041,0.020322733599459752
9,70,50,0.1665239881492288,0.00014267851743784976,0.02228051280253567
9,70,55,0.16657542612846082,9.124053820583344e-05,0.02383895599632524
9,70,60,0.1666068959243733,5.977074229335244e-05,0.02548025400028564
9,70,65,0.1666265692258205,4.0097440846154075e-05,0.027382067998405545
9,70,70,0.166639147764121,2.751890254565348e-05,0.028879682399565353
9,70,75,0.16664736962591573,1.929704075093186e-05,0.03050444700056687
9,70,80,0.166652858000962,1.3808665704662104e-05,0.032187390798935664
9,70,85,0.16665659455494417,1.0072111722492227e-05,0.034037974604871124
9,70,90,0.16665918542642127,7.48124024538277e-06,0.035737069201422854
9,70,95,0.16666101270233205,5.6539643346065205e-06,0.03736229839851148
9,70,100,0.16666232199921033,4.344667456329665e-06,0.03941441240021959
