Nx,Ny,Nz,energy,eval_time,setup_time
10,10,10,0.16659155,0.00028693,0.020580389
20,20,20,0.16659857,0.000369512,0.029413166
30,30,30,0.16660453,0.000350159,0.04246127
40,40,40,0.16660881,0.00046243798,0.0838728
50,50,50,0.16661185,0.0005695988,0.13841459
60,60,60,0.16661419,0.00092038134,0.23325635
70,70,70,0.16661617,0.0014567303,0.3443967
80,80,80,0.16661763,0.001951914,0.531033
90,90,90,0.16661847,0.0026575997,0.7089076
100,100,100,0.16661955,0.0036257973,0.9456058
110,110,110,0.16662109,0.004755774,1.336334
120,120,120,0.16662118,0.006058305,1.601324
130,130,130,0.16662106,0.008380612,2.094361
140,140,140,0.1666238,0.009542316,2.5485756
150,150,150,0.16662428,0.011826595,3.2753167
160,160,160,0.16662477,0.016950835,3.9868045
170,170,170,0.16662505,0.027002739,4.681498
180,180,180,0.1666252,0.023544222,5.3380218
190,190,190,0.16662577,0.034343716,6.2578177
200,200,200,0.1666258,0.03374486,7.438493
